MeasurementDateGMT, Nitric Oxide (ug/m3), Nitrogen Dioxide (ug/m3), Oxides of Nitrogen (ug/m3), PM10 Particulate (ug/m3), PM2.5 Particulate (ug/m3)
2018-01-01,317.52,522.68,1009.72,265.4,192.0
2018-01-02,848.62,959.05,2260.0,441.3,192.0
2018-01-03,408.78,499.05,1125.8,584.72,192.0
2018-01-04,616.07,794.95,1739.6,336.75,192.0
2018-01-05,1191.01,1348.84,3174.83,447.62,186.5
2018-01-06,617.0,1160.4,2106.73,467.8,314.0
2018-01-07,118.38,445.82,627.5,283.7,126.0
2018-01-08,466.0,720.78,1434.83,435.7,325.0
2018-01-09,1800.45,1269.93,4030.28,807.25,648.0
2018-01-10,2245.45,1651.25,5094.1,586.25,325.0
2018-01-11,2723.15,1527.67,5703.25,718.6,607.0
2018-01-12,1729.95,1475.2,4128.0,778.6,665.0
2018-01-13,771.08,939.13,2121.3,642.33,559.0
2018-01-14,667.55,1005.6,2029.1,631.44,791.0
2018-01-15,665.9,806.92,1828.05,333.99,178.0
2018-01-16,612.03,751.35,1689.58,329.35,109.0
2018-01-17,669.02,798.32,1823.98,396.55,138.0
2018-01-18,735.6,904.6,2032.6,336.19,162.0
2018-01-19,819.38,1103.93,2360.28,339.55,160.0
2018-01-20,516.12,1196.33,1987.45,283.75,165.0
2018-01-21,628.5,1032.72,1996.38,316.0,235.0
2018-01-22,1179.25,1299.03,3107.15,530.8,208.0
2018-01-23,691.29,825.84,1885.98,287.62,104.0
2018-01-24,640.38,752.38,1734.18,292.68,71.0
2018-01-25,1061.78,1218.92,2846.92,492.95,134.0
2018-01-26,1977.98,1733.6,4766.58,652.3,284.0
2018-01-27,732.18,1060.03,2182.68,398.4,228.0
2018-01-28,272.62,381.85,800.15,232.98,47.0
2018-01-29,797.6,979.8,2202.9,346.4,99.0
2018-01-30,2235.82,1721.28,5149.77,534.55,204.0
2018-01-31,683.05,824.55,1871.8,257.55,111.0
2018-02-01,932.4,1057.46,2487.2,376.75,103.0
2018-02-02,1345.58,1358.58,3421.68,540.48,149.0
2018-02-03,1276.3,1556.8,3513.48,404.9,238.0
2018-02-04,124.45,495.35,686.18,270.9,133.0
2018-02-05,343.0,818.9,1344.7,334.55,180.0
2018-02-06,644.55,1177.88,2166.02,540.25,339.5
2018-02-07,1630.02,1664.22,4163.85,725.6,244.0
2018-02-08,1349.08,1571.78,3640.53,583.55,185.0
2018-02-09,918.95,1212.85,2621.82,348.5,111.0
2018-02-10,826.95,1119.05,2386.9,268.88,84.0
2018-02-11,382.4,524.22,1111.03,239.45,64.0
2018-02-12,1033.28,1274.27,2858.92,392.55,82.0
2018-02-13,754.2,1059.82,2215.85,279.8,101.0
2018-02-14,1099.18,1275.18,2960.68,329.45,154.0
2018-02-15,736.85,989.75,2119.7,482.05,161.0
2018-02-16,1760.45,1778.93,4478.25,589.2,145.0
2018-02-17,1602.42,1819.22,4276.2,675.4,298.0
2018-02-18,773.65,1251.98,2438.12,617.3,347.0
2018-02-19,1434.35,1397.75,3597.08,519.48,317.0
2018-02-20,594.71,848.36,1760.01,352.52,179.0
2018-02-21,675.53,1062.1,2097.62,1051.55,811.0
2018-02-22,407.8,1041.07,1666.48,726.15,509.0
2018-02-23,783.26,1234.49,2435.57,688.85,460.0
2018-02-24,393.7,921.4,1525.32,718.25,476.0
2018-02-25,190.68,573.0,865.27,385.85,170.0
2018-02-26,251.25,571.28,956.68,295.95,107.0
2018-02-27,911.6,1316.9,2714.48,353.25,165.0
2018-02-28,694.52,1140.95,2205.72,568.65,401.0
2018-03-01,276.25,777.4,1200.68,886.95,619.0
2018-03-02,339.3,898.15,1418.25,1025.2,842.0
2018-03-03,447.0,1132.22,1817.55,1479.1,1347.0
2018-03-04,693.15,1137.28,2200.3,487.3,271.0
2018-03-05,871.75,1201.6,2538.35,518.1,183.0
2018-03-06,1517.41,1644.12,3970.92,527.4,202.5
2018-03-07,1478.7,1664.62,3932.08,584.6,257.0
2018-03-08,713.98,877.48,1972.35,371.85,92.0
2018-03-09,1373.95,1521.6,3628.22,580.4,201.0
2018-03-10,956.9,1131.65,2598.98,648.75,251.0
2018-03-11,510.3,1135.95,1918.62,540.75,297.0
2018-03-12,949.25,1160.3,2615.62,320.6,164.0
2018-03-13,1391.8,1413.35,3547.5,560.28,254.0
2018-03-14,722.65,988.47,2096.52,519.05,181.0
2018-03-15,1240.33,1359.35,3261.13,437.8,171.0
2018-03-16,1067.7,1333.82,2970.87,661.5,221.0
2018-03-17,142.02,479.25,697.35,449.75,325.0
2018-03-18,133.62,493.8,698.3,625.75,418.0
2018-03-19,203.9,582.6,894.78,470.3,234.0
2018-03-20,285.73,752.27,1190.47,376.45,148.0
2018-03-21,1334.02,1499.26,3544.48,645.2,272.5
2018-03-22,811.4,993.3,2237.45,603.7,187.0
2018-03-23,745.75,1055.78,2199.2,637.65,176.0
2018-03-24,609.02,1061.15,1995.15,751.95,550.0
2018-03-25,445.65,1138.9,1822.32,973.75,654.0
2018-03-26,1501.67,1816.1,4118.27,730.98,272.0
2018-03-27,1084.05,1075.9,2737.92,389.38,136.0
2018-03-28,1325.48,1420.42,3453.05,265.15,147.0
2018-03-29,1305.6,1515.68,3517.3,329.35,136.0
2018-03-30,503.52,994.78,1766.88,257.1,173.0
2018-03-31,835.03,995.63,2276.15,284.9,162.0
2018-04-01,556.6,914.18,1767.62,382.7,209.0
2018-04-02,517.95,790.22,1584.3,385.75,173.0
2018-04-03,685.85,943.98,1995.85,474.62,179.0
2018-04-04,549.02,791.71,1633.55,412.6,170.0
2018-04-05,842.5,1065.05,2356.82,342.45,91.0
2018-04-06,766.82,1257.22,2433.07,650.35,252.0
2018-04-07,743.32,1263.55,2403.6,758.6,388.0
2018-04-08,518.9,1098.6,1894.03,493.9,385.0
2018-04-09,427.72,1001.7,1657.48,648.55,573.0
2018-04-10,462.12,1180.3,1888.95,830.25,670.0
2018-04-11,386.1,1037.6,1629.78,1175.0,1070.0
2018-04-12,451.05,902.82,1594.05,973.1,830.0
2018-04-13,1224.53,1365.02,3242.73,826.7,566.0
2018-04-14,731.19,1194.02,2314.43,878.75,689.0
2018-04-15,566.64,961.24,1830.03,680.6,459.0
2018-04-16,760.22,1085.05,2250.5,626.15,251.0
2018-04-17,728.46,1040.06,2157.01,574.55,237.0
2018-04-18,811.74,1217.82,2462.65,638.77,261.0
2018-04-19,1055.84,1950.46,3569.41,881.85,498.0
2018-04-20,1076.1,1546.92,3197.35,835.3,479.0
2018-04-21,554.0,1333.67,2183.68,1028.9,670.0
2018-04-22,360.88,656.28,1209.55,702.35,475.0
2018-04-23,730.8,807.42,1928.02,379.45,156.0
2018-04-24,732.5,777.35,1900.43,439.6,195.0
2018-04-25,806.9,833.88,2071.38,363.62,164.0
2018-04-26,703.22,887.55,1965.68,505.4,199.0
2018-04-27,953.15,1332.68,2794.02,481.0,223.0
2018-04-28,607.4,1014.25,1945.65,438.0,238.0
2018-04-29,90.02,357.02,495.15,282.25,149.0
2018-04-30,590.53,910.3,1815.88,392.15,157.0
2018-05-01,1000.1,1186.49,2719.89,455.62,182.0
2018-05-02,874.08,1206.9,2547.05,333.88,114.0
2018-05-03,1263.36,1406.6,3344.08,559.4,214.0
2018-05-04,1077.45,1428.6,3080.82,663.9,296.0
2018-05-05,379.28,1083.03,1664.45,637.3,388.0
2018-05-06,254.88,1087.9,1478.78,941.9,664.0
2018-05-07,301.05,1280.42,1741.88,1007.3,797.0
2018-05-08,1010.72,1487.82,3037.45,882.6,469.0
2018-05-09,1067.17,1142.72,2778.87,599.45,274.0
2018-05-10,941.35,1218.18,2661.68,464.1,189.0
2018-05-11,888.92,1401.65,2764.75,603.8,249.0
2018-05-12,1118.55,1477.85,3193.08,530.1,272.0
2018-05-13,542.9,988.92,1821.58,539.53,328.0
2018-05-14,468.8,838.92,1557.52,376.3,188.0
2018-05-15,548.77,1048.82,1890.25,435.43,216.0
2018-05-16,163.04,491.74,741.42,530.03,295.0
2018-05-17,226.88,561.05,908.98,495.55,165.0
2018-05-18,566.15,1033.28,1901.62,522.15,231.0
2018-05-19,459.8,945.05,1650.48,612.85,374.0
2018-05-20,205.23,681.6,996.05,608.35,347.0
2018-05-21,469.15,1178.42,1897.68,808.28,623.0
2018-05-22,318.55,712.1,1200.38,728.05,415.0
2018-05-23,228.15,547.38,897.35,705.12,437.0
2018-05-24,957.12,1226.08,2693.68,976.25,608.0
2018-05-25,1148.05,1558.8,3319.02,966.75,599.0
2018-05-26,131.5,632.78,834.27,1033.65,884.63
2018-05-27,341.98,915.32,1439.75,785.85,844.88
2018-05-28,226.15,630.58,977.52,710.95,773.52
2018-05-29,259.6,709.68,1107.87,673.78,702.16
2018-05-30,763.06,1146.64,2316.62,580.0,630.8
2018-05-31,448.95,1024.85,1713.2,829.8,689.01
2018-06-01,993.2,1320.15,2843.12,645.15,422.0
2018-06-02,671.88,924.0,1954.05,347.8,99.0
2018-06-03,317.75,782.0,1269.03,322.1,141.0
2018-06-04,198.38,589.83,893.88,482.22,297.0
2018-06-05,212.05,513.17,838.4,392.35,99.0
2018-06-06,259.85,716.85,1115.2,617.67,215.0
2018-06-07,393.02,909.5,1512.1,551.67,216.0
2018-06-08,334.8,836.88,1350.4,567.15,211.0
2018-06-09,211.72,616.77,941.58,544.65,259.0
2018-06-10,117.68,441.98,622.58,473.6,236.0
2018-06-11,278.91,645.1,1072.67,380.73,164.0
2018-06-12,296.83,678.58,1133.76,400.34,140.0
2018-06-13,1050.47,1232.2,2842.95,424.9,123.0
2018-06-14,707.65,900.88,1986.17,477.9,156.5
2018-06-15,1101.45,1313.28,3002.22,475.0,144.0
2018-06-16,604.38,768.65,1695.55,385.75,101.0
2018-06-17,412.88,571.8,1205.23,289.2,39.0
2018-06-18,643.02,735.42,1721.1,350.68,105.0
2018-06-19,788.38,709.4,1918.5,262.05,51.0
2018-06-20,870.54,735.07,2070.23,286.1,108.0
2018-06-21,567.18,808.5,1677.89,309.35,134.0
2018-06-22,669.05,862.92,1888.45,411.02,166.5
2018-06-23,700.7,984.85,2059.5,469.45,192.0
2018-06-24,318.15,903.32,1391.12,457.4,236.0
2018-06-25,679.5,1384.7,2426.43,587.97,270.0
2018-06-26,423.32,965.8,1614.83,438.8,203.0
2018-06-27,239.78,600.6,968.5,502.55,212.0
2018-06-28,202.88,615.45,926.7,570.8,307.0
2018-06-29,232.55,621.97,978.59,475.62,228.5
2018-06-30,148.22,474.05,701.08,460.2,248.0
2018-07-01,111.32,656.32,826.75,557.85,292.0
2018-07-02,212.52,691.22,1016.95,464.55,156.0
2018-07-03,184.7,539.58,823.08,405.5,137.0
2018-07-04,528.88,1133.65,1944.45,609.15,254.0
2018-07-05,838.22,1568.4,2853.8,772.75,444.0
2018-07-06,732.23,1505.08,2627.77,715.18,415.0
2018-07-07,568.75,1344.38,2216.15,690.2,459.89
2018-07-08,206.05,824.62,1140.03,534.55,348.0
2018-07-09,654.81,1077.26,2081.28,518.05,244.11
2018-07-10,256.05,470.68,863.02,340.9,148.0
2018-07-11,259.55,573.0,970.82,432.55,260.0
2018-07-12,547.19,1100.72,1939.66,611.5,335.0
2018-07-13,510.6,1116.22,1898.98,607.65,371.0
2018-07-14,617.5,1292.15,2239.12,495.2,246.0
2018-07-15,392.6,989.25,1591.32,434.55,239.0
2018-07-16,716.55,1173.08,2271.95,442.25,195.0
2018-07-17,748.58,882.32,2030.18,370.65,144.0
2018-07-18,1029.52,1328.55,2907.0,417.8,167.0
2018-07-19,914.93,1450.4,2853.38,479.7,184.0
2018-07-20,878.0,1616.7,2963.23,527.45,248.0
2018-07-21,615.83,1228.32,2172.68,515.35,359.0
2018-07-22,461.8,910.22,1618.2,397.4,249.0
2018-07-23,911.76,1325.01,2723.32,441.85,211.0
2018-07-24,871.88,1207.77,2544.93,493.15,202.0
2018-07-25,718.1,1412.0,2512.95,469.65,216.0
2018-07-26,787.2,1732.02,2938.88,710.8,424.0
2018-07-27,917.05,1472.98,2879.3,634.7,335.0
2018-07-28,417.25,491.63,1131.45,476.25,160.0
2018-07-29,343.6,432.82,960.08,303.95,98.0
2018-07-30,747.52,707.72,1853.75,409.5,158.0
2018-07-31,900.05,1028.47,2408.63,426.45,161.0
2018-08-01,952.28,1148.15,2608.48,432.1,150.0
2018-08-02,964.38,1292.45,2771.35,433.0,156.0
2018-08-03,818.3,1468.45,2723.15,535.9,192.0
2018-08-04,328.78,701.1,1205.3,313.95,131.0
2018-08-05,287.82,750.55,1191.48,347.0,155.0
2018-08-06,793.3,1556.55,2772.7,530.55,236.0
2018-08-07,829.68,1461.62,2733.78,572.0,254.0
2018-08-08,689.75,901.9,1959.25,379.82,134.0
2018-08-09,1503.28,1363.95,3669.35,471.9,232.0
2018-08-10,894.28,934.02,2305.0,363.2,129.0
2018-08-11,868.22,1138.12,2469.45,368.38,155.0
2018-08-12,436.25,684.3,1353.5,335.8,157.0
2018-08-13,932.7,990.27,2420.18,427.72,187.0
2018-08-14,943.18,1039.25,2485.4,360.15,159.0
2018-08-15,717.4,776.85,1876.88,402.2,188.0
2018-08-16,1037.95,974.38,2565.82,439.7,201.0
2018-08-17,1180.2,1017.27,2826.75,475.05,189.0
2018-08-18,600.25,666.35,1586.82,394.8,182.0
2018-08-19,351.0,422.28,960.6,358.05,183.0
2018-08-20,919.92,897.6,2308.02,383.4,182.0
2018-08-21,963.54,1116.18,2593.69,390.18,178.0
2018-08-22,1000.55,935.05,2469.32,424.28,214.0
2018-08-23,926.38,875.85,2296.03,340.9,170.0
2018-08-24,800.75,800.92,2028.68,286.6,101.0
2018-08-25,840.75,957.65,2246.83,348.7,212.0
2018-08-26,480.1,731.45,1467.85,268.1,138.0
2018-08-27,424.72,509.0,1160.32,296.15,119.0
2018-08-28,1291.68,1361.08,3342.15,400.0,187.0
2018-08-29,1030.4,1226.88,2806.92,417.6,235.0
2018-08-30,947.48,1138.57,2591.12,469.1,248.0
2018-08-31,1167.5,1428.6,3218.7,561.25,282.0
2018-09-01,1033.45,1483.45,3068.1,535.05,271.0
2018-09-02,369.65,1009.52,1576.45,529.9,303.0
2018-09-03,749.1,1302.27,2450.95,638.95,349.0
2018-09-04,354.88,752.12,1296.08,497.9,307.0
2018-09-05,336.65,720.75,1236.9,444.45,228.0
2018-09-06,1454.17,1323.2,3552.68,529.7,276.0
2018-09-07,1359.79,1273.21,3358.09,378.8,166.0
2018-09-08,759.58,975.3,2139.7,303.4,128.0
2018-09-09,378.75,643.3,1224.15,354.7,163.0
2018-09-10,845.95,869.48,2166.8,394.9,137.0
2018-09-11,749.22,763.7,1912.68,441.25,186.0
2018-09-12,728.15,936.05,2052.5,328.7,133.0
2018-09-13,2035.65,1578.12,4699.62,488.0,245.0
2018-09-14,1153.0,1202.97,2970.6,369.8,126.0
2018-09-15,996.9,1126.98,2655.68,439.95,159.0
2018-09-16,454.93,788.62,1486.02,367.95,148.0
2018-09-17,916.25,1360.32,2765.1,484.0,193.0
2018-09-18,759.1,848.72,2012.52,476.05,152.0
2018-09-19,653.49,698.71,1700.25,569.83,232.5
2018-09-20,648.18,708.08,1702.12,579.35,218.0
2018-09-21,741.88,769.38,1906.88,365.92,96.0
2018-09-22,962.82,1098.53,2574.82,343.78,160.0
2018-09-23,473.18,814.9,1540.62,243.2,166.0
2018-09-24,1721.12,1443.82,4082.55,401.25,225.0
2018-09-25,1991.22,1750.28,4803.38,549.3,278.0
2018-09-26,1991.57,1791.83,4845.72,681.6,309.0
2018-09-27,1823.08,1903.65,4698.8,720.35,450.0
2018-09-28,306.0,663.47,1132.53,368.42,163.0
2018-09-29,1463.88,1510.65,3755.33,552.4,297.0
2018-09-30,628.87,967.72,1931.43,369.15,245.0
2018-10-01,1121.65,1111.07,2830.88,377.58,181.0
2018-10-02,2014.95,1381.92,4471.23,402.25,150.0
2018-10-03,2424.6,1505.8,5223.02,439.1,272.0
2018-10-04,2317.96,1511.84,5066.2,493.65,280.5
2018-10-05,1377.15,1474.32,3586.18,715.55,449.0
2018-10-06,379.27,681.55,1262.8,387.8,292.0
2018-10-07,736.28,987.75,2116.68,342.55,192.0
2018-10-08,1140.37,1259.42,3008.42,437.05,223.0
2018-10-09,1654.02,1699.75,4235.85,565.15,312.0
2018-10-10,1059.73,1454.88,3080.03,865.2,695.0
2018-10-11,863.7,1112.53,2436.93,535.3,314.0
2018-10-12,663.68,954.23,1972.05,499.55,265.0
2018-10-13,615.5,897.65,1841.28,403.05,247.0
2018-10-14,220.88,530.1,868.85,182.8,180.0
2018-10-15,547.0,993.18,1832.02,397.8,457.0
2018-10-16,1297.69,1254.67,3244.51,626.78,420.5
2018-10-17,1745.55,1682.65,4359.12,444.8,315.0
2018-10-18,394.12,888.95,1493.12,384.9,286.0
2018-10-19,2600.75,1821.85,5809.62,699.65,443.0
2018-10-20,1978.3,1681.75,4715.53,790.45,553.0
2018-10-21,890.03,1077.18,2441.85,496.05,408.0
2018-10-22,928.9,1062.6,2486.62,441.85,269.0
2018-10-23,1266.42,1335.65,3277.55,536.7,311.0
2018-10-24,1669.85,1451.12,4011.6,627.45,356.0
2018-10-25,1637.08,1510.72,4020.85,547.75,341.0
2018-10-26,1162.62,1312.55,3095.35,336.75,190.0
2018-10-27,545.15,810.75,1646.82,188.0,151.0
2018-10-28,155.12,515.45,753.25,155.75,130.0
2018-10-29,843.2,1020.6,2313.32,206.7,122.0
2018-10-30,1203.21,1154.66,2999.45,409.8,225.0
2018-10-31,1586.98,1540.85,3974.35,555.9,298.0
2018-11-01,2630.7,1762.5,5796.68,464.55,354.0
2018-11-02,2794.2,2018.5,6302.98,733.55,435.0
2018-11-03,992.0,1336.15,2857.4,563.65,310.0
2018-11-04,721.88,1030.6,2137.22,611.35,433.0
2018-11-05,1603.7,1317.72,3776.7,956.05,715.0
2018-11-06,1531.98,1302.88,3651.7,695.05,481.0
2018-11-07,1057.12,976.92,2597.88,301.5,230.0
2018-11-08,1150.3,1333.2,3096.88,548.45,263.0
2018-11-09,910.95,1043.35,2439.85,451.3,262.0
2018-11-10,1141.87,1298.08,3048.95,456.25,261.0
2018-11-11,614.3,891.5,1833.63,345.45,216.0
2018-11-12,1407.0,1446.22,3603.47,406.05,271.0
2018-11-13,1152.2,1237.53,3004.15,545.1,284.0
2018-11-14,1644.35,1647.75,4169.02,609.3,337.0
2018-11-15,1902.48,1427.46,4344.58,836.35,564.5
2018-11-16,797.1,923.05,2145.4,397.25,290.0
2018-11-17,508.1,1043.32,1822.38,591.6,479.0
2018-11-18,270.9,863.38,1278.8,506.5,333.0
2018-11-19,255.72,616.25,1008.35,225.7,109.0
2018-11-20,447.28,933.95,1619.72,348.5,283.0
2018-11-21,1659.85,1544.6,4089.87,607.53,506.0
2018-11-22,4668.06,1988.12,9146.05,1219.65,1083.5
2018-11-23,2251.27,1412.19,4864.41,956.2,829.0
2018-11-24,1529.55,1244.73,3590.06,784.7,628.0
2018-11-25,1100.45,944.62,2631.81,542.9,430.0
2018-11-26,1479.81,1272.31,3541.24,499.98,277.0
2018-11-27,1399.81,1211.25,3357.06,436.35,290.0
2018-11-28,635.82,770.38,1745.17,313.1,160.0
2018-11-29,589.3,811.42,1715.28,383.0,156.0
2018-11-30,995.18,1098.52,2624.5,500.1,162.0
2018-12-01,693.05,940.7,2003.32,254.02,87.0
2018-12-02,261.3,370.0,770.75,155.25,83.0
2018-12-03,703.87,933.85,2012.95,432.25,185.0
2018-12-04,2531.0,1866.32,5747.2,710.3,241.0
2018-12-05,1189.88,1180.28,3004.92,306.7,184.0
2018-12-06,708.85,808.75,1895.62,309.3,146.0
2018-12-07,566.62,670.2,1538.83,226.35,91.0
2018-12-08,344.03,463.28,990.85,362.5,153.0
2018-12-09,438.5,680.18,1352.82,263.15,128.0
2018-12-10,1595.35,1577.22,4023.25,555.7,233.0
2018-12-11,2798.1,1901.02,6191.3,858.7,451.0
2018-12-12,916.03,1319.9,2724.18,602.53,347.5
2018-12-13,889.95,1169.8,2534.22,536.1,373.0
2018-12-14,2617.62,1903.48,5917.38,897.6,526.0
2018-12-15,718.85,913.0,2015.43,514.1,316.0
2018-12-16,906.58,1225.35,2615.57,339.95,128.0
2018-12-17,1187.35,1347.15,3167.75,439.1,177.0
2018-12-18,719.88,958.42,2061.91,413.9,181.5
2018-12-19,1153.05,1515.02,3283.12,298.2,118.0
2018-12-20,771.72,1007.88,2191.08,399.35,128.0
2018-12-21,509.7,676.88,1458.52,463.9,187.0
2018-12-22,615.35,832.32,1776.07,452.4,184.0
2018-12-23,417.78,751.53,1392.02,236.7,142.0
2018-12-24,2068.82,1566.98,4739.35,638.3,432.0
2018-12-25,1235.12,1167.85,3061.73,570.3,379.0
2018-12-26,966.88,1191.22,2673.85,581.6,368.0
2018-12-27,3393.03,1845.05,7047.67,1038.3,815.0
2018-12-28,1911.45,1560.7,4491.4,781.5,537.5
2018-12-29,644.95,852.22,1841.12,384.65,205.0
2018-12-30,513.0,811.82,1598.45,303.95,217.0
2018-12-31,796.85,1043.8,2265.18,343.75,196.0
2019-01-01,292.95,629.35,1078.62,341.8,177.19
2019-01-02,382.35,1089.9,1676.49,367.95,199.81
2019-01-03,741.05,1398.85,2535.3,389.3,204.0
2019-01-04,1746.57,1912.83,4590.75,962.75,644.0
2019-01-05,814.92,1416.5,2666.32,718.45,505.0
2019-01-06,774.75,1284.1,2471.85,668.7,375.0
2019-01-07,585.67,906.6,1804.82,470.78,228.0
2019-01-08,893.73,1253.48,2623.6,596.05,209.0
2019-01-09,709.92,1191.78,2280.6,463.35,168.0
2019-01-10,2270.6,1911.32,5392.72,916.65,656.0
2019-01-11,2410.07,1871.0,5566.28,761.85,501.0
2019-01-12,527.6,687.98,1496.55,284.95,99.0
2019-01-13,273.62,411.92,831.35,286.55,88.0
2019-01-14,1022.96,1255.78,2824.29,555.65,296.5
2019-01-15,732.73,895.35,2018.53,358.92,113.0
2019-01-16,552.92,739.18,1586.84,280.1,131.0
2019-01-17,1402.17,1458.89,3608.81,564.65,256.0
2019-01-18,1823.35,1737.6,4533.52,760.25,258.0
2019-01-19,728.45,1011.4,2128.33,555.3,279.0
2019-01-20,1268.65,1462.72,3407.95,844.2,647.0
2019-01-21,2878.61,1833.38,6247.01,1140.25,879.5
2019-01-22,1490.42,1641.62,3927.05,404.0,216.0
2019-01-23,1786.65,1654.9,4394.58,559.9,343.0
2019-01-24,3338.1,2248.22,7366.62,834.3,709.0
2019-01-25,1431.2,1509.32,3703.48,499.05,367.0
2019-01-26,413.65,576.32,1210.5,236.65,86.0
2019-01-27,295.25,435.83,888.45,301.95,120.0
2019-01-28,1425.9,1560.7,3747.12,567.4,189.0
2019-01-29,1685.7,1808.32,4393.05,668.75,232.0
2019-01-30,2691.18,2000.65,6127.02,501.5,304.0
2019-01-31,1822.68,1527.4,4322.02,544.9,391.0
2019-02-01,351.67,952.78,1492.0,390.7,301.0
2019-02-02,657.02,1031.82,2039.18,483.7,277.0
2019-02-03,881.85,1248.1,2600.23,448.2,185.0
2019-02-04,934.2,1111.75,2544.43,313.05,161.0
2019-02-05,1398.7,1429.68,3574.58,388.4,216.0
2019-02-06,1401.31,1473.79,3622.0,385.37,138.5
2019-02-07,528.38,680.75,1490.55,376.2,118.0
2019-02-08,495.0,627.85,1386.82,318.05,106.0
2019-02-09,448.0,593.95,1280.8,355.2,123.0
2019-02-10,421.05,721.88,1367.3,140.15,60.0
2019-02-11,2100.35,1824.58,5045.1,591.0,212.0
2019-02-12,1347.93,1412.72,3479.6,581.45,231.0
2019-02-13,1623.22,1622.88,4111.52,769.65,336.0
2019-02-14,2873.75,2139.3,6545.6,1062.1,591.0
2019-02-15,2473.85,2164.68,5958.0,1170.8,728.0
2019-02-16,1054.1,1376.8,2993.2,941.7,662.0
2019-02-17,679.16,1130.7,2172.03,803.4,446.0
2019-02-18,1198.1,1404.07,3241.2,516.85,225.0
2019-02-19,801.08,1036.25,2264.5,536.85,153.0
2019-02-20,913.48,1190.68,2591.4,600.15,254.0
2019-02-21,917.24,1251.94,2658.4,702.97,329.0
2019-02-22,1433.62,1541.35,3739.32,721.55,405.0
2019-02-23,1462.45,1613.28,3855.85,942.55,642.0
2019-02-24,1412.65,1541.23,3707.42,972.25,790.0
2019-02-25,2578.4,2176.45,6129.82,1156.7,801.0
