MeasurementDateGMT,NO,NO2,NOX,PM10
2018-01-07,420.1,548.09,1193.72,438.74
2018-01-14,545.84,623.87,1462.37,527.97
2018-01-21,473.76,666.59,1394.46,436.24
2018-01-28,537.14,672.71,1497.66,421.13
2018-02-04,580.05,625.69,1516.47,432.07
2018-02-11,614.46,658.48,1602.11,453.11
2018-02-18,671.51,789.34,1820.49,508.27
2018-02-25,224.6,452.76,798.55,516.09
2018-03-04,155.34,503.02,742.61,596.16
2018-03-11,588.28,798.86,1702.33,512.4
2018-03-18,345.43,566.12,1097.19,444.86
2018-03-25,377.87,580.65,1161.37,549.36
2018-04-01,426.09,675.97,1330.79,398.53
2018-04-08,254.19,536.64,927.81,423.84
2018-04-15,219.91,504.16,842.74,580.94
2018-04-22,264.73,608.34,1015.69,561.14
2018-04-29,261.74,467.19,869.83,407.86
2018-05-06,330.34,558.61,1066.72,485.81
2018-05-13,302.34,600.79,1065.88,534.91
2018-05-20,133.74,417.81,622.85,451.78
2018-05-27,163.36,480.86,731.2,674.55
2018-06-03,219.51,553.97,890.12,567.83
2018-06-10,72.58,320.02,430.46,413.54
2018-06-17,239.72,503.16,870.39,324.15
2018-06-24,265.7,468.92,876.35,315.83
2018-07-01,99.52,395.17,547.84,440.92
2018-07-08,190.17,591.57,883.12,520.61
2018-07-15,192.6,508.18,803.52,411.51
2018-07-22,322.5,833.49,1327.99,437.11
2018-07-29,250.41,726.77,1110.46,435.32
2018-08-05,255.39,606.93,998.33,322.45
2018-08-12,400.51,704.09,1318.16,316.01
2018-08-19,405.51,514.51,1136.32,290.29
2018-08-26,458.84,578.94,1282.52,243.41
2018-09-02,318.48,727.54,1215.78,333.13
2018-09-09,317.61,631.7,1118.62,342.11
2018-09-16,431.73,614.95,1276.96,284.61
2018-09-23,243.82,473.01,846.74,280.27
2018-09-30,847.87,970.05,2270.16,351.59
2018-10-07,580.62,713.72,1603.95,342.1
2018-10-14,361.77,735.71,1290.26,408.61
2018-10-21,685.07,885.74,1936.09,429.21
2018-10-28,439.14,667.77,1341.11,292.2
2018-11-04,905.3,1027.89,2416.03,457.2
2018-11-11,506.94,799.42,1576.77,501.92
2018-11-18,405.98,821.68,1444.18,436.86
2018-11-25,520.57,752.99,1551.44,509.92
2018-12-02,386.62,751.77,1344.78,320.46
2018-12-09,532.07,776.43,1592.26,299.09
2018-12-16,1070.24,1256.88,2897.9,517.02
2018-12-23,420.03,861.1,1505.05,307.36
2018-12-30,1421.77,1169.7,3349.71,559.18
2019-01-06,426.62,854.38,1508.54,467.29
2019-01-13,484.14,809.19,1551.47,431.35
2019-01-20,643.02,1017.39,2003.36,410.13
2019-01-27,1127.7,1127.95,2857.13,474.86
2019-02-03,937.07,1061.06,2497.85,446.64
2019-02-10,414.39,732.61,1367.87,292.82
2019-02-17,1085.39,1182.44,2846.52,697.95
2019-02-24,640.44,1138.94,2120.9,625.34
2019-03-03,1083.11,1397.44,3058.12,816.87
2019-03-10,314.83,603.39,1086.01,261.11
2019-03-17,243.56,463.28,836.67,234.59
2019-03-24,442.02,846.81,1524.54,386.89
2019-03-31,556.96,1082.03,1936.26,673.36
2019-04-07,295.6,694.13,1147.34,472.03
2019-04-14,149.85,523.19,753.03,532.03
2019-04-21,176.89,748.95,1020.31,1036.53
2019-04-28,188.53,640.04,929.26,574.35
2019-05-05,249.98,682.99,1066.19,423.49
2019-05-12,315.42,702.96,1186.59,356.29
2019-05-19,151.56,494.81,727.13,465.1
2019-05-26,270.77,635.26,1050.43,356.79
2019-06-02,278.38,561.62,988.67,270.78
2019-06-09,237.62,578.41,942.7,313.29
2019-06-16,222.42,501.24,842.25,233.29
2019-06-23,265.73,585.47,993.04,380.79
2019-06-30,138.54,427.72,640.24,468.49
2019-07-07,208.29,469.29,788.61,299.12
2019-07-14,238.58,527.93,893.58,359.1
2019-07-21,281.76,550.14,982.16,360.27
2019-07-28,283.66,646.12,1081.11,443.31
2019-08-04,201.69,487.8,797.12,388.32
2019-08-11,222.69,349.51,691.1,381.23
2019-08-18,286.79,446.03,885.65,367.28
2019-08-25,313.94,707.61,1188.92,478.69
2019-09-01,273.96,631.19,1051.12,440.89
2019-09-08,304.6,480.29,947.36,401.82
2019-09-15,362.13,584.15,1139.27,420.56
2019-09-22,280.81,616.06,1046.69,480.45
2019-09-29,246.84,362.98,741.48,310.89
2019-10-06,470.46,523.3,1244.63,295.64
2019-10-13,297.0,437.66,893.09,272.66
2019-10-20,465.17,561.86,1274.99,316.58
2019-10-27,611.53,602.49,1540.11,412.49
2019-11-03,309.49,573.18,1047.79,389.26
2019-11-10,778.89,714.76,1908.96,383.05
2019-11-17,671.24,682.69,1711.96,358.72
2019-11-24,763.33,848.45,2018.94,444.14
2019-12-01,443.73,659.44,1339.83,270.56
2019-12-08,1277.33,860.53,2818.97,419.62
2019-12-15,400.8,607.33,1222.0,263.34
2019-12-22,463.74,735.41,1446.44,259.95
2019-12-29,454.83,613.89,1311.14,363.21
2020-01-05,361.61,636.78,1191.34,413.43
2020-01-12,295.51,554.08,1007.12,302.35
2020-01-19,468.45,613.67,1331.94,269.15
2020-01-26,1245.35,979.56,2888.96,564.79
2020-02-02,249.05,516.8,898.69,328.94
2020-02-09,498.85,672.04,1436.74,734.62
2020-02-16,307.97,493.05,965.16,280.88
2020-02-23,223.6,413.15,756.11,302.38
2020-03-01,257.19,511.74,906.05,269.56
2020-03-08,471.88,687.95,1411.52,357.66
2020-03-15,244.92,416.7,792.36,261.99
2020-03-22,164.67,397.24,649.64,323.89
2020-03-29,127.37,475.38,670.72,557.24
2020-04-05,141.71,356.29,573.7,305.14
2020-04-12,106.3,508.35,671.46,777.94
2020-04-19,71.73,370.66,480.62,543.66
2020-04-26,55.43,321.58,406.54,583.83
2020-05-03,107.9,356.81,522.22,286.79
2020-05-10,65.51,339.62,440.07,470.81
2020-05-17,96.74,284.36,432.74,284.65
2020-05-24,119.79,293.87,477.57,410.16
2020-05-31,80.99,272.41,396.65,353.43
2020-06-07,127.01,298.23,492.94,280.11
2020-06-14,95.33,317.28,463.43,335.4
2020-06-21,174.66,374.5,642.29,247.2
2020-06-28,120.69,389.64,574.79,400.09
2020-07-05,153.52,303.2,538.67,228.65
2020-07-12,156.15,349.5,589.13,277.82
2020-07-19,158.28,347.62,590.38,264.49
2020-07-26,161.44,367.94,615.44,307.26
2020-08-02,166.35,386.31,641.42,351.61
2020-08-09,173.12,428.33,693.71,426.36
2020-08-16,169.63,440.02,700.06,671.02
2020-08-23,177.07,388.0,659.38,413.42
2020-08-30,178.87,382.55,656.57,239.78
2020-09-06,197.93,464.73,767.96,318.8
2020-09-13,205.23,441.76,756.16,306.96
2020-09-20,202.22,469.54,779.31,577.21
2020-09-27,208.59,471.98,791.46,348.76
2020-10-04,210.83,473.53,796.49,261.76
2020-10-11,220.16,470.38,807.59,252.05
2020-10-18,236.57,528.98,891.17,279.56
2020-10-25,261.8,485.84,887.18,316.48
2020-11-01,359.71,438.05,988.63,293.0
2020-11-08,532.63,678.51,1494.3,701.65
2020-11-15,359.26,509.69,1059.67,403.7
2020-11-22,325.85,451.24,950.03,296.99
2020-11-29,395.63,677.77,1283.69,554.16
2020-12-06,312.17,609.34,1087.43,367.0
2020-12-13,403.33,683.73,1301.68,372.84
2020-12-20,233.55,476.79,834.55,297.49
2020-12-27,225.77,431.4,777.29,214.91
2021-01-03,219.79,472.74,809.46,322.89
2021-01-10,204.32,468.42,781.6,329.59
2021-01-17,219.68,534.43,871.27,274.23
2021-01-24,285.79,678.99,1117.17,285.54
2021-01-31,324.63,702.62,1200.41,301.56
2021-02-07,279.21,534.35,962.48,375.09
2021-02-14,96.02,379.96,527.01,370.03
2021-02-21,215.79,378.26,709.09,466.76
2021-02-28,420.93,630.0,1275.33,545.08
2021-03-07,227.2,573.97,922.31,603.55
2021-03-14,260.81,475.6,875.44,441.42
2021-03-21,487.14,548.03,1295.13,386.94
2021-03-28,305.68,601.66,1070.56,599.05
2021-04-04,397.44,541.62,1151.12,600.73
2021-04-11,200.48,491.51,798.88,320.11
2021-04-18,256.56,781.51,1174.76,375.38
2021-04-25,118.29,543.54,725.05,678.08
2021-05-02,130.8,508.04,708.69,431.23
2021-05-09,193.06,425.09,721.04,264.04
2021-05-16,179.09,466.2,740.86,318.59
2021-05-23,231.61,374.81,730.04,318.44
2021-05-30,196.74,474.07,775.78,406.5
2021-06-06,184.77,425.66,708.99,457.35
2021-06-13,284.41,315.31,751.46,353.01
2021-06-20,137.86,350.65,561.96,358.07
2021-06-27,174.45,445.5,712.77,333.41
2021-07-04,90.93,270.12,409.67,265.37
